hook_text,hook_type,country,is_viral
@caro shopping trip -> 11/10 #girlstrip #foryou #shopping #milan #milano #italy #ootd,neutral,Italy,False
I’m finally back in Milan,neutral,Italy,False
The beauty of Milan street trends in Summer 2024,neutral,Italy,False
Classy girl dinner night outfit in Milan #outfit #girldinner #outfitsideas #fashiontiktok,neutral,Italy,False
social anxiety fears me #outfit #milano #italy #outfitinspo #summer #vacation #urlaub #curly,neutral,Italy,False
milan with my soulieee #fyp #boyfriend #milan #milanfashionweek #outfit #ootdinspo,neutral,Italy,False
Italian style #lifestyle #italianstyle #oldmoney #quietluxury #milan #italy #richlife #luxurylife #viral #foryoupage,neutral,Italy,False
Top Italian Street Style 2025,neutral,Italy,False
Street Style 2025,short punch,Italy,False
Milan Style2025#streetstyle #italy #milanfashion #milanstyle #italianstyle #milan #fashionable #italiansummer #fashiontrends #fashiontrends #coolstyle,neutral,Italy,False
Dress Code: Italian old money fashion does my outfit meet the dress,neutral,Italy,False
"Due outfit, zero dubbi",neutral,Italy,False
#classmen #menclass #menwithclassandstyle #mensfashion #menover60,neutral,Italy,False
Replying to @gaietta Brand italiani sostenibili ☺️,neutral,Italy,False
#gafas #camisas #pantalones #verano #modaitaliana #italia #fyp,neutral,Italy,False
2500 da ❤️,short punch,Italy,False
GENERAL CHECK,short punch,Italy,False
"These are just general tips✨ not saying you must wear those things,",neutral,Italy,False
OOTD ‍,short punch,Italy,False
General Fashion & T-Shirt,neutral,Italy,False
#creatorsearchinsights,short punch,Italy,False
General casual stylish wear,neutral,Italy,False
Risposta a @Raziel17x,short punch,Italy,False
Summer 2025 is coming Better be early,neutral,Italy,False
Non nominate il nome del Vintage invano,neutral,Italy,False
"T-shirt and trousers, but make it refined",neutral,Italy,False
Hello Summer style staple #mensfashion #mensagem #summerstyle,neutral,Italy,False
#day #outfit #fashion #eurosummer #fyp #foryoupage,neutral,Italy,False
In versione clean girl senza essere una clean girl @Igeia by Carlotta,neutral,Italy,False
Full linen outfit,short punch,Italy,False
"If you're looking for a husband, go to Italy",neutral,Italy,False
#fyp #foryoupage #elegant #elegance #classy #classystyle #femenine #femenineenergy #fashion #fashiontiktok #fashioninspo #italy,neutral,Italy,False
Our outfits in Italy #italy#comolake#outfits#girlstrip#varenna#bellagio#lecco#milan#ootd#italyoutfits#outfitstrend,neutral,Italy,False
First outfit✨ #italy #italyaesthetic #italianoutfit #summeroutfit #outfitideas #styleinspo #fashiontok #modelwalk #fyp #mostviralvideo,neutral,Italy,False
ITALIAN SUMMER OUTFITS #vacationoutfits #italiansummer #italiansummeraesthetic #vacationdress #summerdress #outfitideas #outfitinspo,neutral,Italy,False
Trending woman dresses/ Summer Everyday Outfit Ideas 2025 #lookbook #ootdinspo #fashiontiktok #lifestyle,neutral,Italy,False
✨ :,short punch,Italy,False
"✨ Mie bellissime donne, il nuovo corner è un mix di eleganza",neutral,Italy,False
Living my dolce vita ✨ Italian summer mode: ON #italy #summermode #italianvibes,neutral,Italy,False
Il vestito estivo a pois più iconico di sempre #dresses #dressup #summerlooks,neutral,Italy,False
"✨❤️SANDALO JADA ❤️✨, direttamente dalla nostra produzione artigianale Made in Italy ✨",neutral,Italy,False
Non è solo un vestito,neutral,Italy,False
Italian Style #perte,short punch,Italy,False
#oldmoney #oldmoneystyle #oldmoneyaesthetic #luxurylife #perte #fyp,neutral,Italy,False
Buonasera,short punch,Italy,False
#italianstyle now its my song,neutral,Italy,False
The Italian look #italy #italien #look #style #ootd,neutral,Italy,False
Es ist Sommer,short punch,Italy,False
Italian Hairstyle tutorial ✂️,neutral,Italy,False
Step up your style with Mafia-inspired outfits for men,neutral,Italy,False
Italian style,short punch,Italy,False
Outfit Old Money - italian style,neutral,Italy,False
cute and simple summer outfits from @White Fox Boutique ✨️ White Fox,neutral,Italy,False
Volete la pt 2,neutral,Italy,False
summer outfit inspo all from white fox use DEMETRATT for 30% off,neutral,Italy,False
follow for more inspo,neutral,Italy,False
plus size summer outfit my skorts are a lifeeee saver,neutral,Italy,False
Outfit linked in my ltk in bio #whattowear #whattoweartoday #summeroutfit #summerlooks,neutral,Italy,False
summer outfits for when it’s BOILING HOT outside #fashion #styleinspo #outfit #girls,neutral,Italy,False
#summeroutfit #outfitinspiration #stradivarius #skort,neutral,Italy,True
#haul #ootd #outfitinspo #outfitideas #zarahaul #zara #fashiontiktok #fashioninspo #summerfits #asos #asoshaul #skirt,neutral,Italy,False
ootd com a amiga @Beatriz Teixeira #outfitinspo #outfitcheck #ootd #outfitideas #summeroutfit #fyp,neutral,Italy,False
Attenzione a materiali e colori #outfitideas #outfitinspo #petitefashion #fashiontiktok #summeroutfit #summerinspo #summerfits,neutral,Italy,False
#summer #summerideas #summer2023 #outfits #outfitinspo #love #summerides #beachoutfitideas #ideasforsummer #beachfits,neutral,Italy,False
Italy lookbook featuring elegant and modest outfits I love so much,neutral,Italy,False
Outfit,short punch,Italy,False
#lookbook #fashionista #streetstyle #marinitrani #tryonhaul #fashionsale #promozione #newcollection #shopnow #styleinspo #styleinspo #fashion,neutral,Italy,False
"""✨ Chiara Ferragni ci porta in un viaggio di stile con il",neutral,Italy,False
A preview of our Estate Italiana - ‘Italiana Summer’ collection available online,neutral,Italy,False
"Diversa, mai meno",short punch,Italy,False
Il look pesca è adatto a ogni occasione Fateci sapere il vostro,neutral,Italy,False
What to wear in Italy this Summer,question,Italy,False
What to wear in italy this spring and summer,question,Italy,False
ONCE YOU SEE IT YOU CANT UNSEE IT AND YOU CANT STOP,story,Italy,False
Shein outfits for Italy,neutral,Italy,False
Você vai curtir o Eurosummer,neutral,Italy,False
Best dress for Italy,neutral,Italy,False
what i would wear in italyyy @Meshki,question,Italy,False
Capri Outfits,short punch,Italy,False
"A sunny Thursday in my life living in Torino, Italy ☺️",neutral,Italy,False
"Day in the life living in florence, italy #florenceitaly #studyabroad",neutral,Italy,False
another normal day in a normal life #vlog #normalpeople,neutral,Italy,False
Quick vlog,short punch,Italy,False
Cammino come Forrest,short punch,Italy,False
first full day in Milan,neutral,Italy,False
,short punch,USA,False
Struggling to go viral as a fashion creator,neutral,USA,False
"NOT DIRECTLY TALKING ABOUT SOMEONE, just want to give y’all sauce &",neutral,USA,False
lmk if u want me to talk more about any specific things,neutral,USA,True
Follow for more tips and content,neutral,USA,False
a lot of you guys ask me how I got started so,neutral,USA,False
The fashion space is a tricky tricky B word,neutral,USA,False
#foryoupage #blowthisup #fashiontiktok #outfitinspo #amadouuo,neutral,USA,False
My 5-9 as a Fashion Influencer,neutral,USA,False
Step by step on how to increase your income as a fashion,neutral,USA,False
Up close & personal today,neutral,USA,False
once i started making content & building partnerships with clothing brands i,story,USA,False
how @Wisdom Kaye became one of the best fashioncreators of our generation,question,USA,False
I made my first rookie mistake… #fashion #mistake,neutral,USA,False
"It’s not just about your talent, it’s about how you run your",neutral,USA,False
Common mistakes for fashion designer - colours #fyp #fashiondesigner #clothingbrandtips #fashiontiktok #fypage,neutral,USA,False
biggest fashion mistakes Camilo and Maya wish they knew from the start,neutral,USA,False
I MESSED UP,short punch,USA,False
How we were able to correct a mistake (Attraction),question,USA,False
Always there fr,short punch,USA,True
The most important thing is that you learn an improve everyday,neutral,USA,False
3 Outfit Mistakes That Instantly Age you,neutral,USA,False
the 2 most common mistakes from beginner stylists,neutral,USA,False
The mistakes I’ve learned to fix being a content creator,neutral,USA,False
5 things that make you look cheap,neutral,USA,False
I love that she tries to copy me,neutral,USA,False
my outfit for today,neutral,USA,False
lately ive really been leaning towards comfy and breathable but making it,neutral,USA,False
i promise i tried,neutral,USA,True
a week of work fits,neutral,USA,False
save for your next ootd,neutral,USA,False
almost forgot to post this fitcheck had it sitting in the drafts,neutral,USA,False
how to make & edit those trending #ootd videos,question,USA,False
you already know it✨ #littlemix #outfitinspo #fashiontiktok #outfitideas #fashioninspo #summeroutfit #ootd #styleinspo,neutral,USA,False
White fits for summer #elevatedbasics #summeroutfits #ootd,neutral,USA,False
<3,short punch,USA,False
did I mention I love this song #ootd #outfitinspo #summer #fyp #foryou,question,USA,False
What should we do next,question,USA,False
Trust me on this strategy girlies,neutral,USA,False
Reply to @nida,short punch,USA,False
Are you a fashion creator,neutral,USA,False
[ SAVE & SHARE ✨ ] My 7-step process to creating FASHION,neutral,USA,False
If i were to create a fashion brand today - this is,neutral,USA,False
Wanna start creating content,neutral,USA,False
Brand marketing in 2025#clothingbrand #fashionmarketing #brandstrategy #clothingtips #contentcreation #creatorsearchinsights,neutral,USA,False
@LOEWE is really that girl when it comes to unique marketing content,neutral,USA,False
#foryoupage #blowthisup #fashiontiktok #outfitinspo #amadouuo,neutral,USA,False
A big old list of content ideas for fashion creators #fashiontiktok #styletiktok,neutral,USA,False
Replying to @makenzie,short punch,USA,False
Where to get fashion ideas #fypシ #streetfashion #streetwear #xyzbca,neutral,USA,False
"""Fashion + content = chefs kiss #",neutral,USA,False
content creation ideas for lifestyle and fashion creators,neutral,USA,False
#fitcheck #DigitalMarketing #dreamlife #fyp #parisianstyle #parisfashionweek #lifestyle #fashion #reeltips #growmyaccount,neutral,USA,False
save this for fashion and lifestyle content ideas,neutral,USA,False
I recently found this fashion blogger page and I love it so,neutral,USA,False
OOTD#ootd #maximalism #fashioninspo #fypシ゚viral #outfitsinspo #fypシ゚viral #fypシ #summer #skirtoverpants #tylerthecreator #layeredoutfits #unique,neutral,USA,False
fitted in @kalliopeisamuse w/ @Zoe #fyp #foryoupagе #ftcelly #fashioninspo #contentcreator #ootd #fashiontiktok,neutral,USA,True
What should I name this series frennnn,question,USA,False
Its time to step out a minute,neutral,USA,False
today ⭐️,short punch,USA,False
Top fashion styles for 2025 #creatorsearchinsights #fashiontips #styleinspo #trendylooks #outfitideas #mensfashion #streetwear,neutral,USA,False
Name a better niche fashion content creator… oh wait you can’t #fypシ,neutral,USA,True
#fashioncontentcreator #streetstylefashion #baggyjeans #baggyjeansoutfit #baggyclothes #streetwear #streetstyleinspo,neutral,USA,True
My favorite fashion influencers for outfit ideas,neutral,USA,False
Welcome to all my new followers,neutral,USA,False
HOW I PUT TOGETHER MY OUTFITS ✍ breaking it down step by,question,USA,False
Styling 1 top 4 ways ⋆,neutral,USA,False
3 business fashion hacks @MOTF 15% off DC C0DE: MOTF24013 Formal corporate,neutral,USA,False
Grwm: How to create an outfit,neutral,USA,False
HOW TO PUT TOGETHER AN OUTFIT EFFORTLESSLY #outfitinspo #styletips #swag,question,USA,True
Style with me #3,neutral,USA,False
Many women are not confident with how to style correctly their favorite,neutral,USA,False
"Ok this 333 method really helped me come up with outfit ideas,",neutral,USA,False
How to dress better than 99% of the population ‍↕️,question,USA,False
Fashion tips for if you don’t know what to wear… #fyp #fashion,neutral,USA,False
how to make an outfit you actually like #outfitideas #outfits #androgynousstyle #androgynousfashion,question,USA,True
convenient,short punch,USA,False
here’s how to dress girly & comfortable at the same time,neutral,USA,False
#casualoutfitideas #easyoutfits #everydayoutfits,short punch,USA,False
Minimal Style: #streetstyle #ootd,neutral,USA,False
ootd,short punch,USA,False
Love my new sweater from Ann mashburn feels super chic yet wearable,neutral,USA,False
little ootd #summerfashion #summerootd #outfitinspo #outfitoftheday #summerchic #trendycasualoutfits #creatorsearchinsights #everydayoutfitideas,neutral,USA,False
#fyp#outfitinspo,short punch,USA,True
gdwmmm,short punch,USA,True
Linked in LTK wearing @Revolve @Edikted @Tony Bianco @DISSH #clothinghaul #summerclothes #fyp,neutral,USA,False
Off to get a facial @Rescue Spa with my friends,neutral,USA,False
Daily outfit #makeup #grwm #fyp #fitcheck #dailyoutfits #dailyoutfitideas #dailyoutfitinspo #ootdfashion #blazeroutfit #latestoutfits,neutral,USA,False
From elegance to bold Stay tuned for more looks and transitions,neutral,USA,False
ೀ⋆｡˚ outfit transformation with twinn,neutral,USA,False
Old lady dress transformations,neutral,USA,False
Cross dressing These quick transformations should be a hit with the girls,neutral,USA,False
Mama dressed up for a night out‍ #momsoftiktok #momsover30 #transition #glowup #momlife,neutral,USA,False
#outfittransition,short punch,USA,False
My outfit transition #outfit #fashion_outfits #beforeandafter #latinagirl #fyp,neutral,USA,False
Explaining my recent outfit transformation - this is why the first outfit,neutral,USA,False
Outfit Transformation #yoursopretty #vibingbymyself #myoutfit #myoutfits #femalecontentcreator,neutral,USA,False
#outfitchangetransition #ParaTi #Fyp,short punch,USA,False
